sheet,row,register_raw,register_start,register_end,is_range,friendly_name,description,bytes,data_type,format,access,present_from_version,extra_col_i,extra_col_j,extra_col_k,parser_note
MainControlMonitoring,27,295,295,295,false,AC030,counter Backup1 starts,4,UINT32,Unit,R,1.00,,,,
MainControlMonitoring,29,297,297,297,false,AC028,counter Backup1 Hours,4,UINT32,Unit,R,1.00,,,,
MainControlMonitoring,31,299,299,299,false,AC031,counter Backup2 starts,4,UINT32,Unit,R,1.00,,,,
MainControlMonitoring,33,301,301,301,false,AC029,counter Backup2 Hours,4,UINT32,Hours,R,1.00,,,,
MainControlMonitoring,35,303,303,303,false,AC001,Number of hours appliance was active,4,UINT32,Hours,R,1.00,,,,
MainControlMonitoring,37,305-339,305,339,true,,,,,,,,,,,range row in source; not expanded automatically
MainControlMonitoring,38,340,340,340,false,,Status bitfields number 1. Relevant for the HMI output,1,UINT8,-,R,1.02,,,,
MainControlMonitoring,39,341,341,341,false,,Status bitfields number 2. Relevant for the HMI output,1,UINT8,-,R,1.02,,,,
MainControlMonitoring,40,342,342,342,false,,Status bitfields number 3. Relevant for the HMI output,1,UINT8,-,R,1.02,,,,
MainControlMonitoring,41,343-349,343,349,true,,,,,,,,,,,range row in source; not expanded automatically
MainControlMonitoring,42,350,350,350,false,AP050,Appliance Time,,OCTETSTRING,"Absolute time in milliseconds after midnight and the number of days since January 1, 1984",R/W,1.00,,,,
Boiler(Appliance),4,384,384,384,false,AM027,Outside temperature measure,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),5,385,385,385,false,AM091,Seasonal mode active,1,ENUM8,0: Winter 1:Winter Frost Protection 2:Summer neutral band 3: Summer,R,1.00,,,,
Boiler(Appliance),6,386,386,386,false,AP073,"Outdoor temperature: upper limit for heating (30,5 means disabled)",2,UINT16,"0,01°C",R/W,1.00,,,,
Boiler(Appliance),7,387,387,387,false,AP075,Only used when genertor could use cooling .Neutral band in which the HP is deactivated,2,UINT16,"0,01°C",R/W,1.00,,,,
Boiler(Appliance),8,388,388,388,false,AP080,Outside temperature below which the antifreeze protection is activated,2,INT16,"0,01°C",R/W,1.00,,,,
Boiler(Appliance),9,389,389,389,false,AP074,The heating is stopped. Hot water is maintained. Force Summer Mode,1,ENUM8,0: Off 1: On,R/W,1.01,,,,
Boiler(Appliance),10,390,390,390,false,,Alarm codes when there is an alarm condition,2,INT16,1,R,"1,03",,,,
Boiler(Appliance),11,390-399,390,399,true,Reserved for futur use,,,,,,,,,,reserved range in source; not expanded for gap count
Boiler(Appliance),12,400,400,400,false,AM016,Flow temperature,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),13,401,401,401,false,AM018,Return temperature,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),14,402,402,402,false,AM036,Flue gas temperature,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),15,403,403,403,false,HM001,heat pump Flow Temperature,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),16,404,404,404,false,HM002,heat pump return Temperature,2,INT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),17,405,405,405,false,AM101,Internal setpoint used for hot water production,2,UINT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),18,406,406,406,false,PM002,Central heating setpoint of the appliance,2,UINT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),19,407,407,407,false,HM033,Flow temperature setpoint in cooling mode,2,UINT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),20,408,408,408,false,DM004,Flow temperature setpoint Domestic Hot Water,2,UINT16,"0,01°C",R,1.00,,,,
Boiler(Appliance),21,409,409,409,false,AM019,actual Water pressure,1,UINT8,"0,1 bar",R,1.00,,,,
Boiler(Appliance),22,410,410,410,false,AM056,Flow rate,2,UINT16,"0,01l/min",R,1.00,,,,
Boiler(Appliance),23,411,411,411,false,AM012,Status of appliance,1,ENUM8,0-255 cf appliance manual,R,1.00,,,,
Boiler(Appliance),24,412,412,412,false,AM014,Sub Status of appliance,1,ENUM8,0-255 cf appliance manual,R,1.00,,,,
Boiler(Appliance),25,413,413,413,false,AM024,Actual relative power produced,2,UINT16,1E-4,R,1.00,,,,
Boiler(Appliance),26,414,414,414,false,GM011,Power setpoint in % of max,2,UINT16,1E-4,R,1.00,,,,
Boiler(Appliance),27,415,415,415,false,GM008,Actual flame current measured,1,UINT8,"0,1 µA",R,1.00,,,,
Boiler(Appliance),28,416,416,416,false,,Internal heat demand - Power,1,UINT8,0.01,R,1.00,,,,
Boiler(Appliance),29,417,417,417,false,,Internal heat demand - temperature Setpoint,2,INT16,"0,01°C",R,,,,,
Boiler(Appliance),30,418,418,418,false,,Internal heat demand - heatdemandType,2,UINT8,0 : None 1 : DHW primary 2 : DHW high priority 3 : Process heat 4 : Screed Drying 5 : DHW medium priority 6 : DHW low priority 7 : Central Heating 8 : Cooling 9 : Electrical active 10: Electrical Reactive,R,,,,,
Boiler(Appliance),31,419,419,419,false,PC002,Counter burner/compressor starts,4,UINT32,Unit,R,1.00,,,,
Boiler(Appliance),33,421,421,421,false,PC003,Counter Burning Hours,4,UINT32,Hours,R,1.00,,,,
Boiler(Appliance),35,423,423,423,false,AC030,counter Backup1 starts,4,UINT32,Unit,R,1.00,,,,
Boiler(Appliance),37,425,425,425,false,AC028,counter Backup1 Hours,4,UINT32,Hours,R,1.00,,,,
Boiler(Appliance),39,427,427,427,false,AC031,counter Backup2 starts,4,UINT32,Unit,R,1.00,,,,
Boiler(Appliance),41,429,429,429,false,AC029,counter Backup2 Hours,4,UINT32,Hours,R,1.00,,,,
Boiler(Appliance),43,431,431,431,false,AC001,Number of hours appliance was active,4,UINT32,Hours,R,1.00,,,,
Boiler(Appliance),45,433,433,433,false,AC005,Total energy consumed for production of central heat,4,UINT32,1 kWh,R,1.00,,,,
Boiler(Appliance),47,435,435,435,false,AC006,Total energy consumed for production of domestic hot water.,4,UINT32,1 kWh,R,1.00,,,,
Boiler(Appliance),49,437,437,437,false,AC007,Total energy consumed for cooling production,4,UINT32,1 kWh,R,1.00,,,,
Boiler(Appliance),51,438,438,438,false,,,,,,,,,,,
Boiler(Appliance),52,439,439,439,false,,Total energy consumed in the current year(kWh),4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),53,441,441,441,false,AC018,Total energy consumed by eletrical or hydraulic backup,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),54,443,443,443,false,,Total energy delivered in the current year,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),55,445,445,445,false,AC008,Energy delivered for Central Heating,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),56,447,447,447,false,AC009,Energy delivered for Domestic Hot Water,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),57,449,449,449,false,AC010,Energy delivered for cooling,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),58,451,451,451,false,AC019,Energy delivered fy Electrical or Hydraulic backup,4,UINT32,kWh,R,1.02,,,,
Boiler(Appliance),59,453,453,453,false,HM069,current speed of the condenser pump,2,UINT16,1E-3,R,1.02,,,,
Boiler(Appliance),60,454,454,454,false,HC000,counter of the operating hours of the condenser pump (also called Hp Pump),4,UINT32,Hours,R,1.02,,,,
Boiler(Appliance),61,456,456,456,false,HM062,"the actual current of the ODU as measured by the ODU, is used in the ODU unit to protect against too high current",2,UINT16,"0,1A",R,1.02,,,,
Boiler(Appliance),62,457,457,457,false,,"operation mode of the outdoor unit, in the current contrôle scheme onfle the HEAT(1) and COOL(2) modes are used, The current default is HEAT(1)",2,UINT16,0 : standby 1 : heating 2 : DHW high priority 3 : cooling,R,1.02,,,,
Boiler(Appliance),63,458,458,458,false,HM003,system flow temperature setpoint including backups,2,UINT16,"0,01°C",R,1.02,,,,
Boiler(Appliance),64,459,459,459,false,AM010,current pump speed,2,UINT16,1E-3,R,1.02,,,,
Boiler(Appliance),65,460,460,460,false,AM047,signal used to capture actual power calculation,4,UINT32,"0,01kW",R,1.02,,,,
Boiler(Appliance),66,462,462,462,false,HM031,Instantaneous COP calculated by Hybrid application,2,UINT16,1E-3,R,1.03,,,,
Boiler(Appliance),67,463,463,463,false,HM032,COP threshold calculated by hybrid,2,UINT16,1E-3,R,1.03,,,,
Boiler(Appliance),68,464,464,464,false,HP061,Hybrid mode selected,1,ENUM8,0 : No Hybrid 1 : Hybrid Cost 2 : Hybrid Primary Energy 3 : Hybrid CO2,R/W,1.03,,,,
Boiler(Appliance),69,465,465,465,false,HP062,Hybrid Electricity cost in high tarif,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),70,466,466,466,false,HP063,Hybrid Electricity cost in low tarif,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),71,467,467,467,false,HP064,cost of ofssil energy (oil or gas) - piece per litre or peu m3,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),72,468,468,468,false,HP065,Electrical CO2 emission in heating mode,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),73,469,469,469,false,HP066,Electrical CO2 emission in DHW mode,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),74,470,470,470,false,HP067,Gas or Oil CO2 emission,1,UINT8,1,R/W,1.03,,,,
Boiler(Appliance),75,471,471,471,false,HP068,Boiler in appliance efficiency,1,UINT8,0.01,R/W,1.03,,,,
Boiler(Appliance),76,472,472,472,false,HP054,COP threshold above which heat pump is authorized to operate when hybrid mode is primary energy,2,UINT16,0.01,R/W,1.03,,,,
Boiler(Appliance),77,473,473,473,false,AP098,Logic contact to take into account for Blocking input 1,1,ENUM8,0 : Open 1 : Closed,R/W,1.02,,,,
Boiler(Appliance),78,474,474,474,false,AP099,Logic contact to take into account for Blocking input 2,1,ENUM8,0 : Open 1 : Closed,R/W,1.02,,,,
Boiler(Appliance),79,475,475,475,false,AP100,Blocking input 2 setting,1,ENUM8,0 : Not Used 1 : Full Blocking 2 : Partial Blocking 3 : User Reset Locking 4 : Backup Relieved 5 : Generator Relieved 6 : Generator And Backup relieved 7 : High Tarif - Low Tarif 8 : Photovoltaic Heat Pump Only 9 : Photovoltaic Heat Pump and Backup 10: Smart Grid Ready 11: Heating Colling 12: Central Heating Blocking,R/W,1.02,,,,
Boiler(Appliance),80,476,476,476,false,AP001,Function blocking input,1,ENUM8,0 : Not Used 1 : Full Blocking 2 : Partial Blocking 3 : User Reset Locking 4 : Backup Relieved 5 : Generator Relieved 6 : Generator And Backup relieved 7 : High Tarif - Low Tarif 8 : Photovoltaic Heat Pump Only 9 : Photovoltaic Heat Pump and Backup 10: Smart Grid Ready 11: Heating Colling 12: Central Heating Blocking,R/W,1.02,,,,
Boiler(Appliance),81,477,477,477,false,DP048,Minimum heating time before Domestic Hot Water production,1,UINT8,1H,R/W,1.02,,,,
Boiler(Appliance),82,478,478,478,false,DP047,Maximum time allowed to produce Domestic Hot Water,1,UINT8,1H,R/W,1.02,,,,
Boiler(Appliance),83,479,479,479,false,DP051,Domestic Hot Water ECO or COMFORT setting,1,ENUM8,0 : Eco Only HP 1: Comfort HP Boiler,R/W,1.02,,,,
Boiler(Appliance),84,480,480,480,false,AM002,Low Noise Mode state,1,ENUM8,0: NoSilentMode 1: Silent Mode Level 1 2: Silent Mode Level 2 3: Silent Mode Level 3 4: Silent Mode Level 4 5: Silent Mode Level 5,R,1.02,,,,
