block,datatype,access,classification,context,description,sources
9007,ENUM8,R,nur R laut Doku,Thermodynamic Water Heater (12),S_PhotoVoltaicInputState,GTW-08-Modbus-parameterlijst_gap_report.md
9008,ENUM8,R,nur R laut Doku,Thermodynamic Water Heater (12),S_PeakOffPeakInputState,GTW-08-Modbus-parameterlijst_gap_report.md
9009,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Digital input 1 configuration,GTW-08-Modbus-parameterlijst_gap_report.md
9010,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Digital input 2 configuration,GTW-08-Modbus-parameterlijst_gap_report.md
9011,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),digital input 1 contact logic configuration,GTW-08-Modbus-parameterlijst_gap_report.md
9012,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),digital input 2 contact logic configuration,GTW-08-Modbus-parameterlijst_gap_report.md
9200,INT16,R,nur R laut Doku,Hybrid (27),Flow temperature,GTW-08-Modbus-parameterlijst_gap_report.md
9201,INT16,R,nur R laut Doku,Hybrid (27),Return temperature,GTW-08-Modbus-parameterlijst_gap_report.md
9202,UINT16,R,nur R laut Doku,Hybrid (27),Internal setpoint used for hot water production,GTW-08-Modbus-parameterlijst_gap_report.md
9203,UINT8,R,nur R laut Doku,Hybrid (27),actual Water pressure,GTW-08-Modbus-parameterlijst_gap_report.md
9204,UINT8,R,nur R laut Doku,Hybrid (27),Status of appliance,GTW-08-Modbus-parameterlijst_gap_report.md
9205,UINT8,R,nur R laut Doku,Hybrid (27),Sub Status of appliance,GTW-08-Modbus-parameterlijst_gap_report.md
9206-9207,UINT32,R,nur R laut Doku,Hybrid (27),Counter burner/compressor starts,GTW-08-Modbus-parameterlijst_gap_report.md
9208-9209,UINT32,R,nur R laut Doku,Hybrid (27),Counter Burning Hours,GTW-08-Modbus-parameterlijst_gap_report.md
9210-9211,UINT32,R,nur R laut Doku,Hybrid (27),Number of hours appliance was active,GTW-08-Modbus-parameterlijst_gap_report.md
9212-9213,UINT32,R,nur R laut Doku,Hybrid (27),NTotal energy consumed for production of central heat,GTW-08-Modbus-parameterlijst_gap_report.md
9214-9215,UINT32,R,nur R laut Doku,Hybrid (27),Total energy consumed for production of domestic hot water.,GTW-08-Modbus-parameterlijst_gap_report.md
9216,UINT16,R,nur R laut Doku,Hybrid (27),system flow temperature setpoint including backups,GTW-08-Modbus-parameterlijst_gap_report.md
9217,UINT16,R,nur R laut Doku,Hybrid (27),current pump speed,GTW-08-Modbus-parameterlijst_gap_report.md
9218-9219,UINT32,R,nur R laut Doku,Hybrid (27),signal used to capture actual power calculation,GTW-08-Modbus-parameterlijst_gap_report.md
9220,UINT8,R,nur R laut Doku,Hybrid (27),Service is required,GTW-08-Modbus-parameterlijst_gap_report.md
9221,ENUM8,R/W,enthält W laut Doku,Hybrid (27),Hybrid mode selected,GTW-08-Modbus-parameterlijst_gap_report.md
9222,UINT8,R/W,enthält W laut Doku,Hybrid (27),Hybrid Electricity cost in high tarif,GTW-08-Modbus-parameterlijst_gap_report.md
9223,UINT8,R/W,enthält W laut Doku,Hybrid (27),Hybrid Electricity cost in low tarif,GTW-08-Modbus-parameterlijst_gap_report.md
9224,UINT8,R/W,enthält W laut Doku,Hybrid (27),cost of ofssil energy (oil or gas) - piece per litre or peu m3,GTW-08-Modbus-parameterlijst_gap_report.md
9225,UINT8,R/W,enthält W laut Doku,Hybrid (27),Electrical CO2 emission in heating mode,GTW-08-Modbus-parameterlijst_gap_report.md
9226,UINT8,R/W,enthält W laut Doku,Hybrid (27),Electrical CO2 emission in DHW mode,GTW-08-Modbus-parameterlijst_gap_report.md
9227,UINT8,R/W,enthält W laut Doku,Hybrid (27),Gas or Oil CO2 emission,GTW-08-Modbus-parameterlijst_gap_report.md
9228,UINT8,R/W,enthält W laut Doku,Hybrid (27),Boiler in appliance efficiency,GTW-08-Modbus-parameterlijst_gap_report.md
